Action_Label,closing_fist
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,533.0,535.6666666666666
1,488.0,535.5666666666667
2,476.0,535.5666666666667
3,515.0,535.5666666666667
4,546.0,535.5666666666667
5,531.0,535.6
6,483.0,535.6333333333333
7,476.0,535.5666666666667
8,513.0,535.5666666666667
9,545.0,535.5333333333333
10,531.0,535.4666666666667
11,488.0,535.4
12,477.0,535.3666666666667
13,514.0,535.3333333333334
14,544.0,535.3666666666667
15,534.0,535.4666666666667
16,488.0,535.4
17,475.0,535.3333333333334
18,512.0,535.3333333333334
19,542.0,535.2666666666667
20,531.0,535.2666666666667
21,486.0,535.1666666666666
22,473.0,535.2
23,511.0,535.1666666666666
24,543.0,535.1
25,533.0,535.1333333333333
26,488.0,535.1
27,471.0,535.2333333333333
28,511.0,535.2333333333333
29,543.0,535.1666666666666
30,532.0,535.1333333333333
31,485.0,535.2333333333333
32,472.0,535.3666666666667
33,512.0,535.2666666666667
34,546.0,535.2666666666667
35,534.0,535.3666666666667
36,487.0,535.2333333333333
37,473.0,535.3333333333334
38,513.0,535.3333333333334
39,545.0,535.3333333333334
40,533.0,535.4
41,487.0,535.4333333333333
42,475.0,535.5
43,512.0,535.4333333333333
44,546.0,535.5
45,534.0,535.5
46,487.0,535.5333333333333
47,472.0,535.6333333333333
48,508.0,535.7666666666667
49,543.0,535.8
50,531.0,535.8
51,486.0,535.8
52,474.0,535.7666666666667
53,511.0,535.7666666666667
54,543.0,535.7666666666667
55,533.0,535.7666666666667
56,486.0,535.8333333333334
57,473.0,535.7666666666667
58,510.0,535.8
59,543.0,535.8
60,535.0,535.9
61,489.0,535.7666666666667
62,473.0,535.7333333333333
63,513.0,535.7666666666667
64,546.0,535.7666666666667
65,538.0,535.9
66,491.0,535.7666666666667
67,475.0,535.7
68,511.0,535.7
69,545.0,535.7
70,535.0,535.7666666666667
71,488.0,535.7333333333333
72,474.0,535.7666666666667
73,511.0,535.8
74,544.0,535.7333333333333
75,533.0,535.7
76,488.0,535.6666666666666
77,471.0,535.7
78,511.0,535.6
79,546.0,535.7
80,535.0,535.8333333333334
81,488.0,535.7666666666667
82,473.0,535.8
83,509.0,535.8666666666667
84,542.0,535.8333333333334
85,533.0,535.8333333333334
86,489.0,535.7333333333333
87,473.0,535.7333333333333
88,510.0,535.7333333333333
89,543.0,535.7333333333333
90,534.0,535.7
91,489.0,535.7
92,472.0,535.7333333333333
93,511.0,535.7333333333333
94,543.0,535.6333333333333
95,536.0,535.5666666666667
96,491.0,535.5666666666667
97,475.0,535.5666666666667
98,510.0,535.6
99,545.0,535.6
100,537.0,535.6666666666666
101,490.0,535.6
102,472.0,535.6666666666666
103,508.0,535.7666666666667
104,542.0,535.7
105,535.0,535.7666666666667
106,489.0,535.7333333333333
107,474.0,535.6333333333333
108,510.0,535.6666666666666
109,543.0,535.5666666666667
110,537.0,535.6333333333333
111,490.0,535.5666666666667
112,474.0,535.5333333333333
113,510.0,535.5
114,543.0,535.5333333333333
115,536.0,535.6333333333333
116,492.0,535.5333333333333
117,473.0,535.5333333333333
118,508.0,535.6
119,543.0,535.6
120,537.0,535.7
121,490.0,535.6666666666666
122,472.0,535.6666666666666
123,508.0,535.7666666666667
124,542.0,535.7333333333333
125,535.0,535.7
126,492.0,535.6666666666666
127,476.0,535.6333333333333
128,510.0,535.6333333333333
129,545.0,535.6333333333333
130,537.0,535.6333333333333
131,493.0,535.5333333333333
