Action_Label,hiya_up
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,483.0,529.8333333333334
1,503.0,530.0
2,536.0,530.2666666666667
3,521.0,530.1666666666666
4,484.0,530.4666666666667
5,488.0,530.4333333333333
6,506.0,530.5666666666667
7,526.0,530.0333333333333
8,521.0,529.8333333333334
9,491.0,529.9333333333333
10,488.0,530.0333333333333
11,510.0,529.7333333333333
12,542.0,530.0
13,529.0,529.9
14,491.0,529.9
15,485.0,529.6
16,504.0,529.7666666666667
17,539.0,529.7333333333333
18,527.0,529.9
19,490.0,529.9333333333333
20,485.0,530.1
21,499.0,530.4
22,537.0,530.4333333333333
23,528.0,530.4
24,490.0,530.6
25,484.0,530.7
26,512.0,530.6666666666666
27,536.0,530.5666666666667
28,523.0,530.4666666666667
29,483.0,530.7
30,487.0,530.5666666666667
31,505.0,530.5
32,535.0,530.4666666666667
33,529.0,530.7333333333333
34,490.0,530.5333333333333
35,484.0,530.6666666666666
36,505.0,530.7
37,538.0,531.1
38,533.0,531.5
39,491.0,531.5
40,478.0,531.8333333333334
41,509.0,531.8666666666667
42,542.0,531.8666666666667
43,526.0,531.7666666666667
44,489.0,531.8333333333334
45,487.0,531.7666666666667
46,515.0,531.6
47,538.0,531.5666666666667
48,522.0,531.4
49,485.0,531.5666666666667
50,477.0,531.8333333333334
51,498.0,531.8666666666667
52,528.0,531.5666666666667
53,527.0,531.5333333333333
54,490.0,531.5333333333333
55,485.0,531.5
56,508.0,531.6333333333333
57,537.0,531.6666666666666
58,526.0,531.7666666666667
59,490.0,531.5333333333333
60,486.0,531.5666666666667
61,512.0,531.3333333333334
62,540.0,531.5
63,525.0,531.3666666666667
64,487.0,531.4666666666667
65,488.0,531.3333333333334
66,509.0,531.2
67,530.0,530.9333333333333
68,521.0,530.5333333333333
69,492.0,530.5
70,487.0,530.2
71,505.0,530.3333333333334
72,529.0,529.9
73,524.0,529.8333333333334
74,488.0,529.8666666666667
75,482.0,530.0333333333333
76,499.0,530.3666666666667
77,529.0,530.0666666666667
78,530.0,530.3333333333334
79,496.0,529.9666666666667
80,490.0,529.5333333333333
81,509.0,529.1666666666666
82,534.0,529.3666666666667
83,530.0,529.4666666666667
84,493.0,529.3666666666667
85,489.0,529.2333333333333
86,512.0,529.1
87,540.0,529.2
88,530.0,529.3333333333334
89,493.0,529.2333333333333
90,486.0,529.2333333333333
91,506.0,529.4333333333333
92,537.0,529.3333333333334
93,524.0,529.3
94,497.0,528.9666666666667
95,494.0,528.7666666666667
96,510.0,528.7333333333333
97,538.0,529.0
98,523.0,529.0666666666667
