Action_Label,open
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,495.0,535.8
1,533.0,535.8666666666667
2,537.0,535.8666666666667
3,514.0,535.8
4,465.0,535.4333333333333
5,500.0,535.0666666666667
6,532.0,535.1
7,535.0,535.0
8,516.0,535.1
9,467.0,535.2
10,500.0,535.2
11,534.0,535.2
12,541.0,535.3333333333334
13,514.0,535.3
14,464.0,535.0
15,497.0,534.7333333333333
16,529.0,534.7333333333333
17,535.0,534.5666666666667
18,511.0,534.4666666666667
19,463.0,534.5333333333333
20,493.0,534.4
21,530.0,534.3333333333334
22,540.0,534.3666666666667
23,519.0,534.4333333333333
24,462.0,534.4666666666667
25,489.0,534.7666666666667
26,536.0,534.8
27,544.0,534.9333333333333
28,520.0,535.1333333333333
29,467.0,534.9333333333333
30,500.0,534.7666666666667
31,537.0,534.9
32,541.0,535.0333333333333
33,514.0,535.0333333333333
34,465.0,535.0333333333333
35,499.0,535.0666666666667
36,535.0,535.1666666666666
37,539.0,535.3
38,518.0,535.3666666666667
39,471.0,535.2333333333333
40,502.0,535.1666666666666
41,537.0,535.2666666666667
42,534.0,535.0333333333333
43,509.0,535.0666666666667
44,466.0,535.0
45,497.0,535.0
46,531.0,535.0666666666667
47,538.0,535.1666666666666
48,513.0,535.1666666666666
49,464.0,535.1333333333333
50,498.0,534.9666666666667
51,535.0,535.1333333333333
52,535.0,534.9666666666667
53,509.0,534.8333333333334
54,458.0,534.9666666666667
55,496.0,534.7333333333333
56,532.0,534.6
57,536.0,534.3333333333334
58,512.0,534.0666666666667
59,464.0,534.1666666666666
60,496.0,534.3
61,527.0,533.9666666666667
62,536.0,533.8
63,516.0,533.8666666666667
64,470.0,533.7
65,500.0,533.6666666666666
66,531.0,533.5333333333333
67,535.0,533.4
68,515.0,533.3
69,463.0,533.5666666666667
70,498.0,533.7
71,532.0,533.5333333333333
72,536.0,533.6
73,509.0,533.6
74,464.0,533.6666666666666
75,499.0,533.6
76,534.0,533.7
77,535.0,533.6
78,514.0,533.6333333333333
79,457.0,533.8666666666667
80,496.0,533.9333333333333
81,533.0,533.8666666666667
82,537.0,533.9333333333333
83,515.0,533.9333333333333
84,462.0,533.8
85,495.0,533.8333333333334
86,535.0,533.9333333333333
87,540.0,534.0666666666667
88,514.0,534.1333333333333
89,462.0,534.2
90,495.0,534.2333333333333
91,528.0,534.2666666666667
92,537.0,534.3
93,511.0,534.2
94,462.0,534.4666666666667
95,493.0,534.7
96,532.0,534.7333333333333
97,539.0,534.8666666666667
98,516.0,534.9
99,469.0,534.7
100,499.0,534.6666666666666
101,530.0,534.6
102,536.0,534.6
103,513.0,534.5333333333333
104,465.0,534.5
105,498.0,534.5333333333333
106,537.0,534.6333333333333
107,544.0,534.9333333333333
108,517.0,535.0333333333333
109,463.0,534.8333333333334
110,501.0,534.6666666666666
111,534.0,534.7
112,536.0,534.6666666666666
113,512.0,534.5666666666667
114,466.0,534.4333333333333
115,502.0,534.2
116,539.0,534.3333333333334
117,541.0,534.3666666666667
118,516.0,534.4333333333333
119,468.0,534.2333333333333
120,501.0,534.0333333333333
121,537.0,534.3333333333334
122,539.0,534.4
123,515.0,534.4666666666667
124,464.0,534.4
125,494.0,534.3666666666667
126,532.0,534.3666666666667
127,542.0,534.4666666666667
128,514.0,534.4
129,469.0,534.4
130,502.0,534.3
131,538.0,534.5666666666667
132,541.0,534.7333333333333
133,516.0,534.8333333333334
134,470.0,534.6666666666666
135,506.0,534.4
136,538.0,534.4333333333333
137,540.0,534.3
138,510.0,534.2
139,467.0,534.0666666666667
140,503.0,534.0
141,541.0,534.2333333333333
142,538.0,534.3
143,515.0,534.4
144,465.0,534.4333333333333
145,502.0,534.4333333333333
146,542.0,534.5333333333333
